application_id,application_date,country,sector,company_size,years_in_business,annual_revenue_eur,existing_bank_client,previous_loans,loan_amount_requested_eur,loan_term_months,collateral_offered,num_employees,debt_to_equity_ratio,current_ratio,profit_margin_pct,revenue_growth_yoy_pct,loan_to_revenue_ratio,credit_bureau_score,num_credit_inquiries_12m,has_payment_defaults,defaulted_12m
APP-00001,2023-03-07,Netherlands,Hospitality & Food,Small (10-49),16,207272,False,2,71492,12,True,18,1.17,1.76,8.7,6.2,0.345,789,0,False,0
APP-00002,2024-07-18,France,Healthcare,Micro (<10),3,71717,True,0,65488,60,True,9,0.65,0.3,13.6,4.1,0.913,726,3,False,0
APP-00003,2024-04-22,Poland,Manufacturing,Micro (<10),2,82882,False,3,43058,36,True,6,2.42,1.1,,2.8,0.52,656,2,False,0
APP-00004,2023-11-17,Spain,Hospitality & Food,Medium (50-249),17,4909207,True,0,188429,24,True,52,0.64,1.36,3.3,6.5,0.038,684,5,False,0
APP-00005,2023-11-13,Netherlands,Construction,Micro (<10),15,362011,False,1,40899,36,False,8,5.3,0.38,2.5,-5.9,0.113,763,1,False,0
APP-00006,2024-09-18,Netherlands,Healthcare,Micro (<10),8,1168494,False,2,187111,48,False,9,0.66,1.5,3.0,-20.9,0.16,685,3,False,0
APP-00007,2023-03-04,Poland,Real Estate,Small (10-49),5,748902,False,2,82553,12,False,46,0.7,0.3,5.2,4.9,0.11,596,1,False,0
APP-00008,2024-05-24,Italy,Transportation & Logistics,Micro (<10),2,873175,True,3,24086,60,False,8,1.66,1.81,15.0,-3.3,0.028,555,0,False,0
APP-00009,2023-05-28,Germany,Technology,Medium (50-249),14,211316,True,2,324687,36,True,98,1.88,1.54,10.9,10.5,1.536,628,1,False,0
APP-00010,2023-03-10,France,Construction,Small (10-49),19,1844432,False,2,10000,12,False,17,0.75,1.29,12.7,-1.6,0.005,595,2,False,0
APP-00011,2024-01-20,Germany,Technology,Micro (<10),4,741199,False,0,92465,72,False,3,3.73,1.86,5.6,-17.8,0.125,666,1,False,0
APP-00012,2024-12-13,Belgium,Construction,Micro (<10),4,281982,False,1,119034,48,False,6,1.65,1.49,5.3,3.6,0.422,608,0,False,0
APP-00013,2024-06-21,Netherlands,Retail & E-commerce,Micro (<10),19,368040,True,1,15602,84,False,7,1.16,1.69,9.2,17.6,0.042,619,0,False,0
APP-00014,2024-07-09,Netherlands,Technology,Small (10-49),4,227731,False,1,140505,36,False,49,1.7,1.57,8.4,8.8,0.617,747,2,False,0
APP-00015,2024-06-07,Netherlands,Technology,Micro (<10),30,285696,True,2,57766,36,True,5,2.79,0.88,8.4,-12.0,0.202,782,0,False,0
APP-00016,2024-07-27,Spain,Construction,Small (10-49),6,254658,True,1,80917,48,True,28,3.54,2.34,18.8,-2.5,0.318,587,3,False,0
APP-00017,2024-01-10,Netherlands,Agriculture,Micro (<10),5,424149,False,2,289065,72,False,8,1.52,2.15,9.2,-1.0,0.682,621,2,False,0
APP-00018,2023-04-04,Netherlands,Technology,Micro (<10),7,2165081,False,0,110655,60,False,9,0.63,1.66,1.7,2.8,0.051,631,3,False,0
APP-00019,2024-09-05,Germany,Professional Services,Micro (<10),5,63179,False,1,74574,48,True,4,0.63,1.49,2.1,-2.0,1.18,675,1,False,0
APP-00020,2023-11-25,Netherlands,Retail & E-commerce,Micro (<10),18,1056873,True,4,86131,60,True,5,0.58,1.85,10.6,-16.1,0.081,677,3,False,0
APP-00021,2024-01-01,Netherlands,Retail & E-commerce,Micro (<10),15,172494,False,0,408759,12,True,3,0.92,2.16,10.2,3.3,2.37,609,2,False,0
APP-00022,2023-09-28,Germany,Professional Services,Micro (<10),17,1231318,False,0,136446,60,True,4,1.38,2.54,11.4,22.2,0.111,690,2,False,0
APP-00023,2023-05-14,Belgium,Hospitality & Food,Medium (50-249),8,179847,True,2,48678,48,True,202,1.53,1.08,8.9,-2.8,0.271,613,4,False,1
APP-00024,2024-11-07,France,Manufacturing,Micro (<10),5,440340,False,0,66792,36,True,2,2.65,2.03,0.3,-9.9,0.152,620,1,False,0
APP-00025,2024-07-24,Italy,Manufacturing,Small (10-49),7,221767,False,1,38098,24,True,21,0.39,1.35,14.5,22.1,0.172,577,0,False,0
APP-00026,2024-04-15,Netherlands,Manufacturing,Micro (<10),5,50000,True,2,68777,36,False,1,1.34,0.43,,28.1,1.376,732,2,False,0
APP-00027,2023-10-21,Italy,Healthcare,Small (10-49),23,2162492,False,1,357294,24,False,20,1.78,1.9,3.9,0.1,0.165,722,2,False,0
APP-00028,2024-08-23,Italy,Healthcare,Micro (<10),16,86568,False,4,86416,36,False,7,0.25,2.28,8.0,7.9,0.998,677,2,False,0
APP-00029,2024-02-03,Spain,Professional Services,Small (10-49),6,296754,False,3,33873,12,True,44,1.77,1.98,7.0,7.6,0.114,703,4,False,0
APP-00030,2023-11-20,France,Manufacturing,Micro (<10),3,75894,True,1,139349,48,True,3,6.95,1.3,4.0,15.7,1.836,738,1,False,0
APP-00031,2023-11-25,France,Retail & E-commerce,Micro (<10),25,53938,False,5,72109,48,False,9,2.15,1.63,-0.4,-8.4,1.337,710,2,False,0
APP-00032,2023-06-15,France,Retail & E-commerce,Micro (<10),8,209834,False,0,154682,24,False,4,1.62,1.82,,4.6,0.737,708,1,False,0
APP-00033,2023-03-09,France,Professional Services,Micro (<10),6,131634,False,0,81314,48,False,3,1.15,1.74,-2.2,-8.1,0.618,615,3,False,0
APP-00034,2024-02-09,Netherlands,Retail & E-commerce,Micro (<10),25,66000,True,2,313707,24,False,9,1.55,2.14,2.7,9.1,4.753,529,4,True,0
APP-00035,2024-10-10,Poland,Professional Services,Micro (<10),4,257166,True,1,47642,36,True,5,3.39,1.97,15.4,23.2,0.185,586,3,True,0
APP-00036,2023-02-16,Germany,Real Estate,Medium (50-249),5,50000,False,0,38865,72,True,89,1.1,1.05,8.3,9.0,0.777,825,1,False,0
APP-00037,2024-09-18,Spain,Hospitality & Food,Micro (<10),6,311940,False,1,208998,60,False,2,2.76,1.42,8.1,-5.2,0.67,631,1,False,0
APP-00038,2024-08-27,Belgium,Transportation & Logistics,Micro (<10),2,230316,False,0,19873,48,False,4,1.78,1.1,4.4,,0.086,778,1,True,0
APP-00039,2023-07-22,Netherlands,Retail & E-commerce,Medium (50-249),9,50000,False,0,86030,48,True,71,3.58,1.5,-2.6,-2.3,1.721,693,1,False,0
APP-00040,2024-04-06,Germany,Manufacturing,Small (10-49),4,143238,False,1,187304,12,True,46,2.59,0.3,8.3,10.7,1.308,647,1,False,0
APP-00041,2023-05-01,Germany,Real Estate,Micro (<10),4,470754,True,4,17059,36,False,6,1.51,2.56,8.7,-4.3,0.036,577,3,False,0
APP-00042,2024-07-07,Germany,Professional Services,Micro (<10),4,74887,False,3,103955,36,True,9,1.46,0.93,10.4,-10.9,1.388,593,2,False,0
APP-00043,2024-05-26,Belgium,Technology,Micro (<10),4,495910,False,1,29829,36,False,3,1.12,1.09,3.8,-4.1,0.06,639,2,True,0
APP-00044,2023-09-16,Netherlands,Real Estate,Micro (<10),3,450996,True,1,22564,84,True,8,2.43,1.45,3.8,-27.4,0.05,639,2,False,0
APP-00045,2023-02-19,Germany,Construction,Micro (<10),9,79121,True,0,42076,60,True,7,0.95,0.57,9.1,-8.0,0.532,693,3,False,1
APP-00046,2024-12-09,Belgium,Professional Services,Small (10-49),6,264411,False,1,85245,48,True,25,1.45,1.2,-0.9,30.7,0.322,595,3,False,0
APP-00047,2023-11-22,Poland,Construction,Small (10-49),7,722150,False,2,56122,60,True,23,1.2,1.5,10.5,-28.8,0.078,598,0,True,0
APP-00048,2024-10-13,Netherlands,Retail & E-commerce,Micro (<10),48,93741,False,2,239343,60,False,2,0.6,2.39,5.1,-13.8,2.553,719,1,False,0
APP-00049,2024-05-09,Belgium,Retail & E-commerce,Micro (<10),6,209614,False,1,105441,36,True,8,1.54,1.49,7.6,25.9,0.503,801,2,False,0
